method,step,cumulative_budget_units,gauge_before,best_bitstring_current_frame,best_bitstring_original,attractor_bitstring_original,min_energy_current_frame,expected_energy_current_frame,best_ratio_current_frame,expected_ratio_current_frame,zero_ratio_current_frame,best_energy_original,best_ar_original,best_cut_original,attractor_energy_original,attractor_ar_original,attractor_cut_original,note,cum_best_energy_original,cum_best_ar_original,instance_idx,noise
plain_vqa,0,10,00000000000000000000,11101001111111110101,11101001111111110101,00000000000000000000,-19.0,-6.82,0.5428571428571428,0.19485714285714287,-0.0,-19.0,0.5428571428571428,19.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-19.0,0.5428571428571428,9,strong_damping
plain_vqa,1,20,00000000000000000000,11101001111111100101,11101001111111100101,00000000000000000000,-22.0,-6.97,0.6285714285714286,0.19914285714285715,-0.0,-22.0,0.6285714285714286,22.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-22.0,0.6285714285714286,9,strong_damping
plain_vqa,2,30,00000000000000000000,11101001111111100101,11101001111111100101,00000000000000000000,-22.0,-6.9,0.6285714285714286,0.19714285714285715,-0.0,-22.0,0.6285714285714286,22.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-22.0,0.6285714285714286,9,strong_damping
plain_vqa,3,40,00000000000000000000,11101001111111100101,11101001111111100101,00000000000000000000,-22.0,-6.83,0.6285714285714286,0.19514285714285715,-0.0,-22.0,0.6285714285714286,22.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-22.0,0.6285714285714286,9,strong_damping
plain_vqa,4,50,00000000000000000000,11101001111111100101,11101001111111100101,00000000000000000000,-22.0,-6.79,0.6285714285714286,0.194,-0.0,-22.0,0.6285714285714286,22.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-22.0,0.6285714285714286,9,strong_damping
plain_vqa,5,60,00000000000000000000,10110111110100100010,10110111110100100010,00000000000000000000,-27.0,-6.44,0.7714285714285715,0.18400000000000002,-0.0,-27.0,0.7714285714285715,27.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-27.0,0.7714285714285715,9,strong_damping
ndar_vqa,0,10,00000000000000000000,01111111111100100110,01111111111100100110,00000000000000000000,-28.0,-7.04,0.8,0.20114285714285715,-0.0,-28.0,0.8,28.0,0.0,-0.0,0.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-28.0,0.8,9,strong_damping
ndar_vqa,1,20,01111111111100100110,01101101011111101111,00010010100011001001,01111111111100100110,-19.0,-5.7,0.5428571428571428,0.16285714285714287,0.8,-19.0,0.5428571428571428,19.0,-28.0,0.8,28.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-28.0,0.8,9,strong_damping
ndar_vqa,2,30,00010010100011001001,11111010100000100100,11101000000011101101,00010010100011001001,-24.0,-5.95,0.6857142857142857,0.17,0.5428571428571428,-24.0,0.6857142857142857,24.0,-19.0,0.5428571428571428,19.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-28.0,0.8,9,strong_damping
ndar_vqa,3,40,11101000000011101101,01111111000111101111,10010111000100000010,11101000000011101101,-23.0,-6.28,0.6571428571428571,0.17942857142857144,0.6857142857142857,-23.0,0.6571428571428571,23.0,-24.0,0.6857142857142857,24.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-28.0,0.8,9,strong_damping
